Song,Copyright ,CCLI Song #
Oceans (Where Feet May Fail) ,"Joel Houston, Matt Crocker, Salomon Ligthelm
© 2012 Hillsong Music Publishing Australia
CCLI Licence No. 5485849",6428767
Quiet (Stripped) ,"Davide Mutendji, Josh Holiday, Steven Furtick, Tiffany Hudson
© 2020 Elevation Worship Publishing2 (Admin. by Essential Music Publishing LLC)
CCLI Licence No. 5485849
",7152529
Remembrance,"Benjamin Hastings, Chris Davenport
©2017 Hillsong MP Songs (Admin. by Hillsong Music Publishing Australia)
Hillsong Music Publishing Australia
CCLI Licence No. 5485849",7102398
See A Victory,"Ben Fielding, Chris Brown, Jason Ingram, Steven Furtick
©2019 Fellow Ships Music (Admin. by Essential Music Publishing LLC)
Music by Elevation Worship Publishing (Admin. by Essential Music Publishing LLC)
So Essential Tunes (Admin. by Essential Music Publishing LLC)
SHOUT! Music Publishing Australia
CCLI Licence No. 5485849",7129060
Sinking Deep,"Aodhan King, Joel Davies
© 2012 Hillsong Music Publishing Australia
CCLI Licence No. 5485849
",6605236
So WIll I (100 Billion X),"Benjamin Hastings, Joel Houston, Michael Fatkin
© 2017 Hillsong Music Publishing Australia
CCLI Licence No. 5485849
",7084123
The Power Of Your Love,"Geoff Bullock
© 1992 Geoff Bullock Music (Admin. by CopyCare Pacific Pty. Ltd.)
CCLI Licence No. 5485849
",917491
Thrive ,"Mark Hall, Matthew West
© 2014 Be Essential Songs (Admin. by Essential Music Publishing LLC)
My Refuge Music (Admin. by Essential Music Publishing LLC)
Matthew West (Combustion) (Admin. by Mushroom Music Publishing)
Remaining portion is unaffiliated
CCLI Licence No. 5485849
",7006228
This I Believe (The Creed),"Ben Fielding, Matt Crocker
© 2014 Hillsong Music Publishing Australia
CCLI Licence No. 5485849
",7018338
This is Amazing Grace,"Jeremy Riddle, Josh Farro, Phil Wickham
© 2012 Phil Wickham Music (Admin. by BMG Rights Management [c/o Music Services, Inc.])
CCLI Licence No. 5485849
",6333821
This Is Our God,"Brandon Lake, Pat Barrett, Phil Wickham, Steven Furtick
© Brandon Lake Music (Admin by Essential Music Publishing)
Maverick City Publishing Worldwide (Admin by Essential Music Publishing)
Phil Wickham Music (Admin. by Crossroad Distributors Pty. Ltd.)
Simply Global Songs (Admin. by Crossroad Distributors Pty. Ltd.)
Music by Elevation Worship Publishing (Admin. by Essential Music Publishing LLC)
Capitol CMG Genesis (Admin. by SHOUT! Music Publishing Australia)
Housefires Sounds (Admin. by SHOUT! Music Publishing Australia)
CCLI Licence No. 5485849
",7211413
Transfiguration,"Aodhan King, Brooke Ligertwood, Scott Ligertwood, Taya Gaukrodger
©2015 Hillsong Music Publishing Australia
CCLI Licence No. 5485849",7047252
Turn Your Eyes Upon Jesus,"Dwan Hill, Helen H. Lemmel, Lauren Daigle, Paul Mabury
© Words: 1922. Renewed 1950 New Spring (Admin. by SHOUT! Music Publishing Australia)
Music: 2018 Big Buddy Music (Admin. by CopyCare Pacific Pty. Ltd.)
ICM Crescendo Royalty Publishing (Admin. by Essential Music Publishing LLC)
So Essential Tunes (Admin. by Essential Music Publishing LLC)
CentricSongs (Admin. by SHOUT! Music Publishing Australia)
See You At The Pub (Admin. by SHOUT! Music Publishing Australia)
CCLI Licence No. 5485849",7117260
Waymaker,"Osinachi Kalu Okoro Egbu
©2016 Integrity Music
CCLI Licence No. 5485849",7115744
What A Beautiful Name ,"Ben Fielding, Brooke Ligertwood
© 2016 Hillsong Music Publishing Australia
CCLI Licence No. 5485849
",7068424
When Peace Like A River ,"Dale Grotenhuis
© 1985 Curtis Music Press (Admin. by Neil A. Kjos Music Company)
CCLI Licence No. 5485849
",2713517
Who You Say I Am,"Ben Fielding, Reuben Morgan
© 2017 Hillsong Music Publishing Australia
CCLI Licence No. 5485849
",7102401
Yet Not I But Through Christ ,"Jonny Robinson, Michael Farren, Rich Thompson
©2018 CityAlight Music (Admin. by Integrity Music)
Farren Love And War Publishing (Admin. by Integrity Music)
Integrity's Alleluia! Music (Admin. by Integrity Music)
CCLI Licence No. 5485849",7121852
,"
© 
CCLI Licence No. 5485849
",
,"
© 
CCLI Licence No. 5485849
",
,"
© 
CCLI Licence No. 5485849
",
,"
© 
CCLI Licence No. 5485849
",
